citation_id,source_id,page_printed,page_file,locator_text,quoted_text,notes
X0909,S0200,,,Safarnameh-ye Makkah: 17 Dhu al-Hijjah meeting with the Sharif of Mecca,"Abdollah Khan describes visiting the Sharif, refusing the customary hand-kissing gesture, and discussing pilgrim concerns.",First-person social and political encounter.
X0910,S0200,,,Safarnameh-ye Makkah: final sacred-site visits and surviving end of diary,The closing entries include visits to the cemetery associated with Abu Talib and other sacred figures before the surviving diary ends.,Closing portion of the surviving travelogue.
X0911,S0200,,,Editor introduction: referenced but missing Europe travelogue,The editor states that Abdollah Khan refers in the Mecca travelogue to a separate European travelogue that was not among the eight works located for this volume.,Important source-preservation note; the Europe travelogue itself is not treated as available evidence.
X0912,S0200,,,Surviving writings: retrospective references to European travel,"The surviving writings/editorial synthesis refer to Abdollah Khan having visited European cities including Rome, Paris, St. Petersburg and Moscow and to meeting the King of Italy.","Retrospective references, not a substitute for the missing Europe diary."
X1000,S0200,,,Kitabcheh-ye Merv: work boundary and completion,The Merv booklet is a distinct work by Abdollah Khan and ends with a completion date of 1296 AH.,Primary-source work boundary.
X1001,S0200,,,"Kitabcheh-ye Merv: Teke divisions, Tejen and Qarli Band","The source describes Aqtemish and Taqtemish divisions, Tejen settlement, Araz Khan, Qarli Band and the agricultural effects of irrigation.",Ethnographic and environmental description.
X1002,S0200,,,Kitabcheh-ye Merv: Khvajam Shokur Aq-Saqal,The source describes Khvajam Shokur as an influential Teke leader associated with movements between Tejen and Sarakhs and a large following.,Historical political/tribal narrative.
X1003,S0200,,,Kitabcheh-ye Merv: rise of Qushid Khan,"The source recounts Qushid Khan's selection as commander, later fortress building, and expansion of influence toward Tejen.",Historical political-military narrative.
X1004,S0200,,,Kitabcheh-ye Merv: Mohammad Amin Khan of Khiva campaign,"The source narrates Mohammad Amin Khan's advance, the siege near Sarakhs, Teke sorties, his death, and Mir Ahmad Khan Jamshidi's organized retreat.",Historical battle narrative.
X1005,S0200,,,Kitabcheh-ye Merv: post-Qushid leadership structure,"The source says leadership fragmented after Qushid Khan and names Baba Khan, Araz Morad Khan, Beg Morad Khan, Nur Verdi Khan and other elders.",Political leadership description.
X1006,S0200,,,"Kitabcheh-ye Merv: Merv economy, markets, irrigation and fuel","The source discusses irrigation dependence, agriculture, fuel gathering, periodic markets, labor mobilization and wealth distribution.",Economic/environmental observations.
X1007,S0200,,,Kitabcheh-ye Merv: Teke military capacity,"Abdollah Khan comments on declining cavalry numbers and describes strong prone rifle infantry, including a reported effective range around 300 paces.",Authorial military assessment.
X1008,S0200,,,Kitabcheh-ye Merv: Salur status under Teke rule,"The source portrays Salur communities as politically and economically subordinate in Merv, with limited land/water autonomy and social barriers.",Ethnographic/social description; preserve source attribution.
X1100,S0200,,,"Kalat Report 1: livestock, pasture and carrying capacity","Abdollah Khan estimates internal livestock capacity, actual sheep holdings, seasonal grazing, and year-round horse pasture in Kalat.",Source-stated estimates.
X1101,S0200,,,"Kalat Report 1: fuel, pistachio woodland and local resources","The report discusses Shir Kuh fuel resources, wild pistachio growth and local agricultural/economic potential.",Environmental/economic observations.
X1102,S0200,,,Kalat Report 1: cumin and underused economic resources,Abdollah Khan argues that abundant local cumin could potentially cover Kalat's tax burden if collected efficiently.,Authorial economic assessment.
X1103,S0200,,,Kalat Report 1: local production and provisioning capacity,"The report gives household, work-animal and grain-production estimates and argues that Kalat could provision a much larger population than required for defense.",Source-stated demographic/agricultural estimates.
X1104,S0200,,,Kalat Report 1: seasonal resource collection near Kashtani and Chub Mast,The report describes outside collectors from Tabas gathering a locally abundant plant/resource for months at a time.,Botanical identification remains unresolved.
X1105,S0200,,,"Kalat Report 2 (1302 AH): five gates, c.75 footpaths, self-sufficiency","Abdollah Khan describes five principal entrances, approximately seventy-five additional pedestrian routes, and Kalat's internally available food and water.",Second Kalat report; 1302 AH.
X1106,S0200,,,Kalat Report 2: manpower reduction and fortification economics,"After fortifying vulnerable approaches, Abdollah Khan argues that roughly two to three hundred soldiers could secure Kalat and that construction costs could be recovered from recurring savings.",Authorial defense/finance analysis.
X1107,S0200,,,Kalat Report 2: cavalry reform,"The report describes reduction of a nominal 300-cavalry establishment to 100 reliable mounted men, with pay and fiscal-return estimates.",Historical administrative figures.
X1108,S0200,,,Kalat Report 2: six artillery pieces,"The report places two useful guns at Nafta, two poorly oriented pieces at Arghavan Shah, and two pieces without carriages at Kobud Gonbad.",Artillery infrastructure assessment.
X1109,S0200,,,Kalat Report 3: five named darbands and old defensive architecture,"The repair inspection names Arghavan Shah, Kashtani, Chub Mast, Nafta and Dehcheh and describes bridges, guardhouses and old towers.",Third Kalat report.
X1110,S0200,,,Kalat Report 3: 79 personally inspected pedestrian approaches,Abdollah Khan says he personally climbed and inspected seventy-nine pedestrian approaches and assessed how each should be blocked or fortified.,First-person engineering/field inspection.
X1111,S0200,,,Kalat Report 3: water and material logistics,"The report discusses carrying material half to one farsakh, using spring rainwater, and transporting water in skins where necessary.",Construction logistics.
X1112,S0200,,,Kalat Report 3: repair durability and Behbud Khan comparison,Abdollah Khan contrasts durable Naderi construction with recent repairs under Behbud Khan that had quickly failed.,Authorial engineering judgment.
X1113,S0200,,,Kalat Report 3: repair budgets and corruption risk,"The report estimates durable strategic work at around 5,000 tomans under competent oversight and warns that far greater spending could still produce poor construction under dishonest management.",Authorial budget/governance analysis.
X1114,S0200,,,Kalat Report 3: government complex and grain storage,"The report proposes functional repairs to the government/mausoleum complex, stables, walls and a granary for at least 2,000 kharvars of wheat.",Administrative/logistical recommendations.
X1200,S0200,,,Treatise on Fars taxation: general fiscal chain,"Abdollah Khan argues that appointing a just governor is insufficient unless fiscal relations among central government, provincial government, subordinate officials and taxpayers are explicitly bounded.",Core reform argument.
X1201,S0200,,,Treatise on Fars taxation: arbabi versus khalesegi/tribal systems,The treatise distinguishes landed-property tax systems from khalesegi and tribal arrangements and describes different avenues for abuse.,Administrative typology.
X1202,S0200,,,Darab example and tafavot-e amal,"The Darab example gives a combined tax and operational-difference figure around 27,000 tomans and argues that reducing the provincial demand would not necessarily reach cultivators.",Source-stated fiscal example.
X1203,S0200,,,Khalesegi-style revenue and customary shares,"The treatise discusses districts including Qir-o Karzin, Laristan, Darab and Behbahan, customary shares such as ushr/khoms, and arrangements compared to leasing.",Fiscal-system description.
X1204,S0200,,,"Tribal taxation: Qashqai, Arab and Baharlu",Abdollah Khan says tribal households paid customary dues through kadkhodas and subordinate chiefs and argues that reductions at higher levels might not reduce household payments.,Tribal fiscal administration.
X1205,S0200,,,Laristan and Haji Rostam Khan,"The source identifies Haji Rostam Khan son of Fath Ali Khan Lari and gives large source-estimated margins above official tax, including a reported 32,000 toman tafavot-e amal payment to Fars government.","Historical source figures, not audited accounts."
X1206,S0200,,,Customary dues versus arbitrary exactions,"Abdollah Khan distinguishes established principal/supplementary obligations from fines, gifts, bribes and arbitrary extractions imposed by officials.",Authorial administrative judgment.
X1207,S0200,,,Pishkesh and intermediary capture,The treatise argues that abolishing or reducing the governor's pishkesh to Tehran would not necessarily reduce the burden borne by cultivators because lower-level customary margins could remain intact.,Fiscal-incidence argument.
X1208,S0200,,,Maqdum and muayyan / bounded and defined fiscal relations,"Abdollah Khan argues that principal and supplementary obligations and the dealings among administrative layers should be made limited, explicit and defined.",Core reform principle.
X1209,S0200,,,Baqi-ye Fars / arrears,The source explains that some recorded Fars arrears could consist of tax already collected from taxpayers but spent by subordinate officials before remittance.,Accounting interpretation; damaged final names/amounts excluded.
X1300,S0201,,,Editor introduction: Astarabad to Fars chronology,"Majidi summarizes Abdollah Khan's appointment to Astarabad in 1298 AH, Khuzestan service from 1305 AH, presentation of the Arabistan/Lorestan report in Rabi I 1308 AH, and Shiraz service by 1309 AH.",Secondary chronological corroboration.
X1301,S0201,,,Editor notes: title transfers to sons,"Majidi states that Hossein Qoli Khan received Sa'ed al-Saltaneh, while Mohtaj Ali Khan received Ejlal al-Mamalek; Hossein Qoli later became Amir Nezam and inherited Sardar Akram.",Secondary title/identity clarification.
X1302,S0201,,,Editor notes: Hajji Sayyah Mahallati and Sadiq al-Sultan,"Majidi identifies Hajji Sayyah Mahallati more fully and identifies Sadiq al-Sultan as Hajji Reza Khan, son of Aqa Mohammad Ali Sarraf, associated with the military treasury.",Secondary identity clarification.
X1303,S0201,,,Editor notes: Samsam al-Molk ambiguity,Majidi explicitly notes uncertainty in source traditions concerning Ali Naqi Khan Samsam al-Molk and wording that can appear to combine Samsam al-Molk with Zulfaqar Khan.,Identity-reconciliation note.
X1304,S0201,,,Editor notes: Sadiq al-Molk diplomatic biography,"Majidi identifies Sadiq al-Molk, son of Mirza Mohammad Nuri Mazandarani, and summarizes diplomatic offices including Paris, the Foreign Ministry and Sofia.",Secondary contextual biography.
X1305,S0201,,,Editor introduction: Abdollah Khan estates and Tehran properties,"Majidi reports secondary estimates of Abdollah Khan's landed holdings and describes three Tehran gardens/properties inherited by his sons, including property later associated with the Italian Embassy and Endowments administration.",Secondary property evidence; incomplete and requires parcel/identity reconciliation.
X1306,S0201,,,Editor notes: unresolved fate of Amir Nezam properties,Majidi states that the later fate of several named Amir Nezam properties is not known.,Secondary evidence of incomplete estate reconstruction.
X1307,S0201,,,Editor/primary context: Behbud Khan in Kalat,"The Kalat material associates an earlier cavalry-tax arrangement with the late Behbud Khan, but the editor does not provide a sufficiently secure full identity for canonical reconciliation.",Identity remains unresolved.
X1400,S0200,,43,Documentary appendix reproduced document — PDF page 43,Reproduced handwritten official document associated by the volume with Haji Abdollah Khan Gharagozloo.,Primary documentary artifact; exact paleographic transcription pending.
X1401,S0200,,44,Documentary appendix reproduced document — PDF page 44,Reproduced handwritten official document associated by the volume with Haji Abdollah Khan Gharagozloo.,Primary documentary artifact; exact paleographic transcription pending.
X1402,S0200,,45,Documentary appendix reproduced document — PDF page 45,Reproduced handwritten official document associated by the volume with Haji Abdollah Khan Gharagozloo.,Primary documentary artifact; exact paleographic transcription pending.
X1403,S0200,,46,Documentary appendix reproduced document — PDF page 46,Reproduced handwritten official document associated by the volume with Haji Abdollah Khan Gharagozloo.,Primary documentary artifact; exact paleographic transcription pending.
X1404,S0200,,47,Documentary appendix reproduced document — PDF page 47,Reproduced handwritten official document associated by the volume with Haji Abdollah Khan Gharagozloo.,Primary documentary artifact; exact paleographic transcription pending.
X1405,S0200,,48,Documentary appendix reproduced document — PDF page 48,Reproduced handwritten official document associated by the volume with Haji Abdollah Khan Gharagozloo.,Primary documentary artifact; exact paleographic transcription pending.
X1406,S0200,,49,Documentary appendix reproduced document — PDF page 49,Reproduced handwritten official document associated by the volume with Haji Abdollah Khan Gharagozloo.,Primary documentary artifact; exact paleographic transcription pending.
X1407,S0200,,50,Documentary appendix reproduced document — PDF page 50,Reproduced handwritten official document associated by the volume with Haji Abdollah Khan Gharagozloo.,Primary documentary artifact; exact paleographic transcription pending.
X1408,S0200,,51,Documentary appendix reproduced document — PDF page 51,Reproduced handwritten official document associated by the volume with Haji Abdollah Khan Gharagozloo.,Primary documentary artifact; exact paleographic transcription pending.
X1500,S0202,,,Abdollah Khan Amir Nezam biography,"Aqeli gives a probable birth around 1235 SH, describes the Astarabad appointment at about age twenty-six, and reports that in 1333 AH he was considered for the premiership before later serving as Minister of Finance.",Secondary biographical evidence; birth and premiership episode require independent corroboration.
X1501,S0202,,,Hossein Qoli Khan Amir Nezam II biography,"Aqeli gives a birth around 1260 SH, military service under his father, Sa'ed al-Saltaneh in 1314 AH, European study, later governorship, Amir Nezam title succession, Pahlavi court service, and death in 1332 SH.",Secondary biography; some dates/offices require independent corroboration.
X1502,S0202,,,Hossein Qoli Khan estate and waqf,Aqeli associates Hossein Qoli Khan with an inheritance of roughly forty-five villages and later charitable endowment of much of the estate.,Secondary estate/waqf evidence.
X1503,S0202,,,Gholamhossein Amiri Gharagozloo biography,"Aqeli says Gholamhossein Amiri Gharagozloo studied petroleum-related subjects in Europe, became a manager/director in the oil company, represented Hamadan in the Sixteenth Majles, and later supervised family waqf property.",Secondary biography; exact institutional titles and dates should be independently verified.
X1504,S0202,,,Gholamhossein Amiri waqf statement,"Aqeli reports that Hossein Qoli Khan had endowed about forty-five villages for charitable purposes including a hospital and school, while later disputes reduced the surviving waqf to about fourteen villages plus a Tehran house; Gholamhossein was involved in supervision and recovery efforts.",Secondary report apparently drawing on a statement attributed to Gholamhossein Amiri Gharagozloo.
X1505,S0202,,,Mohtaj Ali Khan biography and marriage sequencing,"Aqeli describes Mohtaj Ali Khan as involved in financial/banking matters, educated in Europe with Mansur Ali, and places his marriage to a daughter of Fazlollah Khan Entesar al-Molk after his return.",Secondary chronology conflicts with Majmooe Asaar marriage date of Dhu al-Hijjah 1324 AH.
X1506,S0202,,,Mansur Ali Khan Sardar Akram II biography,"Aqeli gives education at Dar al-Funun and in Europe, later governorships, action against Salar al-Dowleh, Hamadan representation in the Eleventh Majles, and marriage to a daughter of Vosuq al-Dowleh.",Secondary biography; marriage is independently corroborated by Majmooe Asaar.
X1507,S0202,,,Gholamhossein Amiri post-1979 allegation,Aqeli reports that Gholamhossein Amiri Gharagozloo was briefly imprisoned after the Revolution in connection with an allegation of Freemasonry membership.,Sensitive/contested biographical allegation; preserve only as attributed secondary-source claim pending independent evidence.
X1508,S0202,,,Hossein Qoli Khan anecdotal death account,Aqeli preserves an anecdotal account that Hossein Qoli Khan was fond of gambling and died after a seizure in a bath at his Victoria residence.,Anecdotal and attributed; do not treat cause or circumstances of death as independently established.
X1509,S0202,,,Amir Afkham and Shervini branch characterizations,Aqeli provides late-Qajar/early-Pahlavi biographical detail for Amir Afkham and related figures but also uses strongly judgmental language about their conduct.,Biographical details may corroborate; moral judgments remain attributed.
X1510,S0202,,,Baha al-Molk branch late-Pahlavi biographies,"Aqeli provides later biographies for Alireza Khan Baha al-Molk, Yahya Khan Etemad al-Dowleh, Manouchehr Gharagozloo, and related descendants.",Contextual branch enrichment; canonical IDs should be reconciled before person-level insertion.
X1511,S0202,,,Gholamhossein Parzhad distinction,"Aqeli describes Gholamhossein Parzhad Gharagozloo as a separate person from Gholamhossein Amiri Gharagozloo, with a different parentage and parliamentary career.",Important identity distinction to prevent conflation of two same-name later-generation figures.
X1512,S0001,59-60,,Chapter 2 — early Ashiqloo leadership and succession from Shahbaz Khan to Mohammad Hossein Khan,,Supports only probable father-son reconstruction; Alvandi frames the relationship as a probability based on Golestaneh.
X1513,S0001,60,,Chapter 2 — conjectured earlier ancestry of Shahbaz Khan,,"Alvandi explicitly presents descent from Safavid Ebrahim Khan as a possibility/conjecture, not established genealogy."
X1514,S0003,10-13,,Editor introduction: transmitted Hajilou genealogy beginning with Qara Mohammad,,"The source explicitly calls Qara Mohammad the remote ancestor of the Hajilou branch, describes him as a nobleman of Turkestan who migrated to Iran in the early Safavid/end-Timurid setting, and narrates his settlement near Tasaran."
X1515,S0002,,,"Direct archive-owner family testimony, 2026-08-08 — children of Gholamhossein Khan Amiri Gharagozloo",,Archive owner confirms P0008 had two sons: P0009 Dr. Alireza Amiri Gharagozloo and P0178 Ali Amiri Gharagozloo.
X1516,S0204,61,,Family-verified photographs and caption for Amirzadeh Khanom,,Supports Amirzadeh Khanom P0182 as daughter of P0022 and identifies her as wife of Mahmoud Khan Piran / Enayat al-Molk.
X1517,S0002,,,"Direct archive-owner family testimony, 2026-08-22 — Amirzadeh Khanom and Akhtar Piran maternal line",,"Hossein Gholi Amiri Gharagozloo confirms, after consultation with older family members, that Amirzadeh Khanom was the mother of his paternal grandmother Akhtar Piran. The same family context identifies Akhtar as spouse of P0008 and mother of P0009."
